id,lead_key,phone,business_name,state,suburb,address,sector_level_1,sector_level_2,sector_level_3,phone_masked,phone_from_leadkey,phone_type,phone_match_score,phone_frequency,phone_quality,reachability_score,kpay_relevant,has_address,has_sector,name_suburb_dup,state_clean,reach_address,reachability,sector_score,geo_score,data_completeness,kmf_score,tier,sector_level_1_clean
2312630,L_611287243333,611287000000,Pro It,NSW,sydney,"Suite 604, Level 6/83 York Street Sydney NSW 2000",Retail,Electronics & Appliances,"Computer, IT Technical Support",True,611287243333,unknown,0.5,1,Level 2,3,True,True,True,False,NSW,10,13,26.0,5,8,52.0,Tier 2,Retail
2312634,L_611300074353,611300000000,Metiri Mensus,NSW,parramatta,Suite 107 L 1 30 Cowper Street Parramatta  NSW  2150,F&B,Others,Food,True,611300074353,shared_cost,0.5,105,Level 1,0,True,True,True,False,NSW,10,10,35.0,15,8,68.0,Tier 2,F&B
2273207,L_61249393300,+61 2 4939 3300,All Ways Healthcare - Kurri Kurri,NSW,kurri kurri,"110 Lang St, Kurri Kurri NSW 2327, Australia",Professional Services,Medical & Dental,Doctor,False,61249393300,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,12.0,1,10,58.0,Tier 2,Professional Services
2273222,L_61411665644,+61 411 665 644,Neon Aquarium Services,NSW,macquarie hills,"23 Pasadena Cres, Macquarie Hills NSW 2285, Australia",Beauty & Wellness,Others,Pet care service,False,61411665644,mobile,1.0,1,Level 3,30,True,True,True,False,NSW,10,40,26.0,1,10,77.0,Tier 2,Beauty & Wellness
2312648,L_611300229906,611300000000,Hampr,NSW,sydney,"904, 250 Pitt Street Sydney NSW 2000",F&B,Others,"Catering Supplies, Service and Equipment",True,611300229906,shared_cost,0.5,105,Level 1,0,True,True,True,False,NSW,10,10,35.0,5,8,58.0,Tier 2,F&B
2312651,L_611300255200,611300000000,Norwegian Cruise Line | Sydney To Auckland,NSW,rozelle,"2041 James Craig Rd, Rozelle, New South Wales, 2039, Australia",F&B,Others,Food & drink,True,611300255200,shared_cost,0.5,105,Level 1,0,True,True,True,False,NSW,10,10,35.0,1,8,54.0,Tier 2,F&B
2312654,L_611300263333,611300000000,Coffex Coffee Pty Ltd,NSW,sydney,"Unit 5/24 Burrows Rd Alexandria, Sydney NSW 2015",F&B,Cafe & Dessert,Coffee Machines,True,611300263333,shared_cost,0.5,105,Level 1,0,True,True,True,False,NSW,10,10,35.0,5,8,58.0,Tier 2,F&B
2312660,L_611300305404,611300000000,Nisbets,NSW,pyrmont,"Unit 3, 37-67 Edward St Pyrmont, Sydney NSW 2009",F&B,Others,"Catering Supplies, Service and Equipment",True,611300305404,shared_cost,0.5,105,Level 1,0,True,True,True,False,NSW,10,10,35.0,1,8,54.0,Tier 2,F&B
2312665,L_611300332334,611300000000,Food Relief,NSW,ryde,"3-5 Anthony Road, West Ryde NSW 2114",F&B,Others,meals,True,611300332334,shared_cost,0.5,105,Level 1,0,True,True,True,False,NSW,10,10,35.0,1,8,54.0,Tier 2,F&B
2273241,L_61434600164,+61 434 600 164,Winebank,NSW,lavington,"87 Catherine Cres, Lavington NSW 2641, Australia",Others,Others,Wine storage facility,False,61434600164,mobile,1.0,1,Level 3,30,True,True,True,False,NSW,10,40,9.0,1,10,60.0,Tier 2,Others
2273243,L_61448242121,+61 448 242 121,Keira House Celebrant,NSW,lawson,"314 Great Western Hwy, Lawson NSW 2783, Australia",Others,Government / Utility Services,Wedding service,False,61448242121,mobile,1.0,1,Level 3,30,True,True,True,False,NSW,10,40,9.0,1,10,60.0,Tier 2,Others
2273244,L_61405974113,+61 405 974 113,Stacy Brewer Cakes,NSW,glebe,"115 Derwent St, Glebe NSW 2038, Australia",Others,Government / Utility Services,Wedding service,False,61405974113,mobile,1.0,1,Level 3,30,True,True,True,False,NSW,10,40,9.0,1,10,60.0,Tier 2,Others
2312673,L_611300377770,611300000000,Akar Halal Meats M,NSW,merrylands,1 McFarlane Street 2160 Sydney - Merrylands West,Retail,Grocery / Convenience Store,Butcher,True,611300377770,shared_cost,0.5,105,Level 1,0,True,True,True,False,NSW,10,10,26.0,10,8,54.0,Tier 2,Retail
2312679,L_611300435367,611300000000,Helens Catering,NSW,sydney,PO Box 275 Gymea Sydney NSW 2227,F&B,Others,Commercial and Industrial Catering,True,611300435367,shared_cost,0.5,105,Level 1,0,True,True,True,False,NSW,10,10,35.0,5,8,58.0,Tier 2,F&B
2312680,L_611300455200,611300000000,Regent Seven Seas Cruises | Asia To Sydney,NSW,rozelle,"2041 James Craig Rd, Rozelle, New South Wales, 2039, Australia",F&B,Others,Food & drink,True,611300455200,shared_cost,0.5,105,Level 1,0,True,True,True,False,NSW,10,10,35.0,1,8,54.0,Tier 2,F&B
2312683,L_611300526452,611301000000,Kamikaze Sydney,NSW,sydney,Shop 347 Harbourside Shopping Ctr Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,False,611300526452,shared_cost,0.2,157,Level 1,0,True,True,True,False,NSW,10,10,35.0,5,7,57.0,Tier 2,F&B
2312685,L_611300546475,611301000000,Kingsleys Steak & Crabhouse,NSW,woolloomooloo,10/ 6 Cowper Wharf Rd Woolloomooloo  NSW  2011,F&B,Dine-in Restaurant,Restaurant,False,611300546475,shared_cost,0.2,157,Level 1,0,True,True,True,False,NSW,10,10,35.0,1,7,53.0,Tier 2,F&B
