id,lead_key,phone,business_name,state,suburb,address,sector_level_1,sector_level_2,sector_level_3,phone_masked,phone_from_leadkey,phone_type,phone_match_score,phone_frequency,phone_quality,reachability_score,kpay_relevant,has_address,has_sector,name_suburb_dup,state_clean
1128268,L_61415499202,0415 499 202,Vip Nail Spa,,,,,,Beauty salon,False,61415499202,mobile,0.2,1,Level 2,3,True,False,False,False,
1692342,L_61408445415,0408 445 415,Shiso Fine,,,,Others,Others,"F,o,o,d, ,T,r,u,c,k,s,,, ,J,a,p,a,n,e,s,e",False,61408445415,mobile,0.2,1,Level 2,3,True,False,True,False,
1147235,L_61425252323,0425 252 323,Discount Mobile Mechanic,,,,Retail,Others,Car battery store,False,61425252323,mobile,0.2,1,Level 2,3,True,False,True,False,
1143266,L_61477666351,0477 666 351,Chefin Private Chef,,,,Others,Others,Caterer,False,61477666351,mobile,0.2,1,Level 2,3,True,False,True,False,
1653344,L_61296235044,+61 2 9623 5044,St Marys Hotel,,,,Others,Others,,False,61296235044,landline,1.0,1,Level 3,25,True,False,True,False,
1637794,L_61295433794,+61 2 9543 3794,Midnight Pizza Menai,,,,F&B,Quick-Service / Takeaway,Pizza,False,61295433794,landline,1.0,1,Level 3,25,True,False,True,False,
1670916,L_61299898333,+61 2 9989 8333,Wok On Fox,,,,F&B,Dine-in Restaurant,Thai,False,61299898333,landline,1.0,1,Level 3,25,True,False,True,False,
1107436,L_61417927644,0417 927 644,Otis Plumbing,,,,,,Plumber,False,61417927644,mobile,0.2,1,Level 2,3,True,False,False,False,
1694643,L_61430221307,0430 221 307,Ultimo Dog Grooming,,,,Others,Others,"D,o,g, ,W,a,l,k,e,r,s,,, ,P,e,t, ,G,r,o,o,m,e,r,s",False,61430221307,mobile,0.2,1,Level 2,3,True,False,True,False,
1693463,L_61449815592,0449 815 592,Adept Services Australia,,,,Others,Others,"G,a,r,d,e,n,e,r,s,,, ,L,a,n,d,s,c,a,p,i,n,g,,, ,T,r,e,e, ,S,e,r,v,i,c,e,s",False,61449815592,mobile,0.2,1,Level 2,3,True,False,True,False,
